PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	LEVITAN, RE				LEVITAN, RE			THE OPTIMUM REJECT ALLOWANCE PROBLEM	MANAGEMENT SCIENCE			English	Article																BOWMAN EH, ANAL PRODUCTION MANA, P287; FELLER W, 1950, PROBABILITY THEORY I, V1, P104; GIFFLER B, 1957, RC49 IBM RES CTR RES	3	29	30	0	1	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	2					172	186		10.1287/mnsc.6.2.172				15	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL07	WOS:A1960CKL0700004					2019-01-18	
J	DANTZIG, GB				DANTZIG, GB			ON THE SHORTEST ROUTE THROUGH A NETWORK	MANAGEMENT SCIENCE			English	Article																Bellman R., 1958, Q APPL MATH, V16, P87, DOI 10.1090/qam/102435; DANTZIG GB, 1957, J OPERATIONS RES, V5, P266; FORD LR, 1956, RAND P923 PAP; MOORE EF, UNPUB SHORTEST PATH	4	94	98	0	3	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	2					187	190		10.1287/mnsc.6.2.187				4	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL07	WOS:A1960CKL0700005					2019-01-18	
J	DANTZIG, GB				DANTZIG, GB			A MACHINE-JOB SCHEDULING MODEL	MANAGEMENT SCIENCE			English	Article																Bellman R., 1958, J Q APPL MATH, V16, P87; DANTZIG G, 1960, MANAGEMENT SCI, V6; FORD LR, 1958, MANAGE SCI, V5, P97, DOI 10.1287/mnsc.5.1.97; FORD LR, 1958, RAND P1114 CORP PAP; FORD LR, 1956, RAND P923 CORP PAP; GOMORY R, 1958, B AM MATH SOC, V64; Johnson S. M, 1954, NAV RES LOG, V1, P61, DOI DOI 10.1002/NAV.3800010110; MOORE EF, UNPUB SHORTEST PATH; SISSON RL, 1959, OPER RES, V7, P10, DOI 10.1287/opre.7.1.10	9	11	11	0	1	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	2					191	196		10.1287/mnsc.6.2.191				6	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL07	WOS:A1960CKL0700006					2019-01-18	
J	MADANSKY, A				MADANSKY, A			INEQUALITIES FOR STOCHASTIC LINEAR-PROGRAMMING PROBLEMS	MANAGEMENT SCIENCE			English	Article																BEALE EML, 1955, J ROY STAT SOC B, V17, P173; BONNESEN T, 1934, THEORIE KONEXEN KO 1, V3; Dantzig GB, 1955, MANAGE SCI, V1, P197, DOI 10.1287/mnsc.1.3-4.197; DRESHER M, 1950, ANN MATH STUD, V24, P161; FERGUSON AR, 1956, MANAGE SCI, V3, P45, DOI 10.1287/mnsc.3.1.45; MADANSKY A, 1959, ANN MATH STAT, V30, P743, DOI 10.1214/aoms/1177706203; REITER S, 1957, ECONOMETRICA, V25, P339, DOI 10.2307/1910259; SAVAGE LJ, 1954, F STATISTICS; SIMON HA, 1956, ECONOMETRICA, V24, P74, DOI 10.2307/1905261; THEIL H, 1957, ECONOMETRICA, V25, P346, DOI 10.2307/1910260; TINTNER G, 1955, 2ND P S LIN PROGR, V1, P197; VAJDA S, 1958, B INT STATIST INST, V36, P357	12	131	133	1	4	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	2					197	204		10.1287/mnsc.6.2.197				8	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL07	WOS:A1960CKL0700007					2019-01-18	
J	KARLIN, S				KARLIN, S			DYNAMIC INVENTORY POLICY WITH VARYING STOCHASTIC DEMANDS	MANAGEMENT SCIENCE			English	Article																Arrow K. J, 1958, STUDIES MATH THEORY; Arrow KJ, 1951, ECONOMETRICA, V19, P250, DOI 10.2307/1906813; Bellman R, 1957, DYNAMIC PROGRAMMING; BELLMAN R, 1955, MANAGE SCI, V2, P83, DOI 10.1287/mnsc.2.1.83; BLACKWELL D, 1954, THEORY GAMES STATIST; Dvoretzky A, 1953, ECONOMETRICA, V21, P586, DOI 10.2307/1907924; KARLIN S, 1956, ANN MATH STAT, V27, P272, DOI 10.1214/aoms/1177728259; Karlin S., 1955, NAVAL RES LOGIST Q, V2, P285; KARLIN S, IN PRESS OPTIMAL POL; SCARF H, 1959, ANN MATH STATIST, V31, P490; SCARF H, 1959, IN PRESS MATH METHOD; SCHOENBERG IJ, 1951, J ANAL MATH, V1, P331, DOI 10.1007/BF02790092	12	165	170	0	6	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					231	258		10.1287/mnsc.6.3.231				28	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800001					2019-01-18	
J	MANNE, AS				MANNE, AS			LINEAR-PROGRAMMING AND SEQUENTIAL DECISIONS	MANAGEMENT SCIENCE			English	Article																BECKMANN M, 1956, MANAGEMENT SCI   JAN; Bellman R, 1957, DYNAMIC PROGRAMMING; CHARNES A, 1958, MANAGEMENT SCI   APR; DANTZIG GB, 1955, MANAGEMENT SCI   APR; DVORETZKY A, 1952, ECONOMETRICA     APR; HOLT CC, 1955, MANAGEMENT SCI   OCT; HOWARD R, 1958, AUG EC SOC; KARLIN S, 1958, STUDIES MATH THEORY, pCH10; LITTLE JDC, 1955, J OPERATIONS RES MAY; RADNER R, 1959, MANAGEMENT SCI   JAN; TERBORGH G, 1949, DYNAMIC EQUIPMENT RE; WAGNER HM, 1960, MANAGEMENT SCI   APR	12	194	195	0	3	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					259	267		10.1287/mnsc.6.3.259				9	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800002					2019-01-18	
J	WAGNER, HM				WAGNER, HM			ON THE OPTIMALITY OF PURE STRATEGIES	MANAGEMENT SCIENCE			English	Article																MANNE AS, 1960, MANAGEMENT SCI   APR	1	22	22	0	2	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					268	269		10.1287/mnsc.6.3.268				2	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800003					2019-01-18	
J	ELMAGHRABY, SE				ELMAGHRABY, SE			ALLOCATION UNDER UNCERTAINTY WHEN THE DEMAND HAS CONTINUOUS DF	MANAGEMENT SCIENCE			English	Article																ARROW K, 1951, RAND P223 PAP; ARROW K, 1956, 3RD P BERK S, V5; ARROW KJ, 1957, OPERATIONS RES, V5; BOHENBLUST HF, 1950, ANN MATH STUDIES, V24; DANTZIG GB, 1956, MANAGEMENT SCI, V3; DANTZIG GB, 1951, ACTIVITY ANALYSIS PR, pCH23; ELMAGHRABY S, 1958, THESIS CORNELL U, P88; FENCHEL W, 1953, CONVEX CONES SETS FU, P87; KUHN HW, 1951, 2ND P BERK S; SAMUELSON PA, 1947, F EC ANAL; UZAWA H, ONR36 STANF U DEP EC	11	22	22	0	2	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					270	294		10.1287/mnsc.6.3.270				25	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800004					2019-01-18	
J	DEBEAU, D; JAMES, G; DROZDA, W				DEBEAU, D; JAMES, G; DROZDA, W			COMPONENT REPLACEMENT LIABILITY	MANAGEMENT SCIENCE			English	Article																	0	0	0	0	1	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					295	302		10.1287/mnsc.6.3.295				8	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800005					2019-01-18	
J	MAYER, RR				MAYER, RR			PROBLEMS IN THE APPLICATION OF REPLACEMENT THEORY	MANAGEMENT SCIENCE			English	Article																*MACH ALL PROD INS, 1956, EQ REPL DEPR POL PRA	1	2	2	0	1	INST OPERATIONS RESEARCH  MANAGEMENT SCIENCES	LINTHICUM HTS	901 ELKRIDGE LANDING RD, STE 400, LINTHICUM HTS, MD 21090-2909	0025-1909			MANAGE SCI	Manage. Sci.		1960	6	3					303	310		10.1287/mnsc.6.3.303				8	Management; Operations Research & Management Science	Business & Economics; Operations Research & Management Science	CKL08	WOS:A1960CKL0800006					2019-01-18	
